Sexo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total
Masculino,"2,274","2,280","2,896","2,228","2,690","2,566","2,568","2,561","2,598","2,759","2,556","2,262","30,238"
Femenino,"1,198","1,343","1,703","1,188","1,614","1,364","1,237","1,309","1,466","1,520","1,396","1,221","16,559"
,"3,472","3,623","4,599","3,416","4,304","3,930","3,805","3,870","4,064","4,279","3,952","3,483","46,797"
