Sexo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total
Masculino,"2,564","2,533","2,043",721,"1,127","1,796","2,063","2,235","2,524","2,573","2,307","2,215","24,701"
Femenino,"1,323","1,323",977,165,428,907,"1,360","2,013","1,987","1,955","1,644","1,362","15,444"
,"3,887","3,856","3,020",886,"1,555","2,703","3,423","4,248","4,511","4,528","3,951","3,577","40,145"
