Sexo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total
Masculino,"2,089","2,477","2,613","2,277","2,315","2,265","2,502","2,419","2,435","2,291","2,654","2,291","28,628"
Femenino,"1,715","2,169","1,781","1,204","1,286","1,493","1,646","1,299","1,355","1,461","1,927","1,486","18,822"
,"3,804","4,646","4,394","3,481","3,601","3,758","4,148","3,718","3,790","3,752","4,581","3,777","47,450"
