Sexo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total
Masculino,"2,084","2,461","2,787","2,286","2,592","2,564","2,364","2,740","2,498","2,562","2,731","2,389","30,058"
Femenino,"2,198","2,457","1,886","1,375","1,457","1,678","1,474","1,459","1,320","1,561","1,453","1,219","19,537"
,"4,282","4,918","4,673","3,661","4,049","4,242","3,838","4,199","3,818","4,123","4,184","3,608","49,595"
