Grupo de Ocupación,Registros,%
AGRICULTORES Y TRABAJADORES CALIFICADOS AGROPECUARIOS Y PESQUEROS,371,1
EMPLEADOS DE OFICINA,16123,40
FUERZAS ARMADAS,397,1
"OFICIALES, OPERARIOS Y ARTESANOS DE ARTES MECANICAS Y DE OTROS OFICIOS",2138,5
OPERADORES DE INSTALACIONES Y MAQUINAS Y MONTADORES,3683,9
PROFESIONALES CIENTIFICOS E INTELECTUALES,4562,11
TECNICOS Y PROFESIONALES DE NIVEL MEDIO,3180,8
TRABAJADORES DE LOS SERVICIOS Y VENDEDORES DE COMERCIOS Y MERCADOS,5581,14
TRABAJADORES NO CALIFICADOS,4110,10
Total:,40145,
