Sexo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total
Masculino,2274,2280,2896,2228,2690,2566,2568,2561,2598,2759,2556,2262,30238
Femenino,1198,1343,1703,1188,1614,1364,1237,1309,1466,1520,1396,1221,16559
,3472,3623,4599,3416,4304,3930,3805,3870,4064,4279,3952,3483,46797
