Tipo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total
Empresa Privada,"2,777","2,856","3,634","2,790","3,367","3,168","3,185","3,225","3,271","3,346","3,199","2,864",37682
Empresa Pública,695,767,965,626,937,762,620,645,793,933,753,619,9115
,"3,472","3,623","4,599","3,416","4,304","3,930","3,805","3,870","4,064","4,279","3,952","3,483",46797
