Actividad,Cantidad de Casos
"Agricultura, Pecuaria y Explotación Forestal",908
Pesca,2
Industrias Extractivas,183
Industria de Transformación,8883
"Producción y Distribución Electricidad, Gas y Agua",658
Construcción,1419
"Comercio, Rep Vehículos Automotrices, Obj pers Dom",6284
Alojamiento y Alimentación,2350
"Transporte, Almacenamiento y Comunicaciones",1315
Intermediación Financiera,842
Actividades Inmobiliarias con avaluos y serv prest,2008
"Administracion Publica, Defensa y Seguridad Social",2560
Educación,1537
Salud y Servicios Sociales,10163
Otros Servicios colectivos sociales y personales,1023
Servicios Domesticos,7
Organismos Internacionales y otras inst extraterri,3
Total:,40145
