Tipo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total
Empresa Privada,"2,291","2,826","2,890","2,568","2,652","2,711","2,972","2,937","2,908","2,669","3,173","2,751",33348
Empresa Pública,"1,513","1,820","1,504",913,949,"1,047","1,176",781,882,"1,083","1,408","1,026",14102
,"3,804","4,646","4,394","3,481","3,601","3,758","4,148","3,718","3,790","3,752","4,581","3,777",47450
