Sexo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total
Masculino,2084,2461,2787,2286,2592,2564,2364,2740,2498,2562,2731,2389,30058
Femenino,2198,2457,1886,1375,1457,1678,1474,1459,1320,1561,1453,1219,19537
,4282,4918,4673,3661,4049,4242,3838,4199,3818,4123,4184,3608,49595
