Sexo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total
Masculino,2564,2533,2043,721,1127,1796,2063,2235,2524,2573,2307,2215,24701
Femenino,1323,1323,977,165,428,907,1360,2013,1987,1955,1644,1362,15444
,3887,3856,3020,886,1555,2703,3423,4248,4511,4528,3951,3577,40145
