Grupo de Ocupación,Registros,%
AGRICULTORES Y TRABAJADORES CALIFICADOS AGROPECUARIOS Y PESQUEROS,439,1
EMPLEADOS DE OFICINA,20317,41
FUERZAS ARMADAS,652,1
"OFICIALES, OPERARIOS Y ARTESANOS DE ARTES MECANICAS Y DE OTROS OFICIOS",3089,6
OPERADORES DE INSTALACIONES Y MAQUINAS Y MONTADORES,4602,9
PROFESIONALES CIENTIFICOS E INTELECTUALES,3738,8
TECNICOS Y PROFESIONALES DE NIVEL MEDIO,4023,8
TRABAJADORES DE LOS SERVICIOS Y VENDEDORES DE COMERCIOS Y MERCADOS,6849,14
TRABAJADORES NO CALIFICADOS,5886,12
Total:,49595,
