Actividad,Cantidad de Casos
"Agricultura, Pecuaria y Explotación Forestal",852
Pesca,5
Industrias Extractivas,256
Industria de Transformación,10627
"Producción y Distribución Electricidad, Gas y Agua",857
Construcción,1910
"Comercio, Rep Vehículos Automotrices, Obj pers Dom",7983
Alojamiento y Alimentación,6371
"Transporte, Almacenamiento y Comunicaciones",2058
Intermediación Financiera,1239
Actividades Inmobiliarias con avaluos y serv prest,2609
"Administracion Publica, Defensa y Seguridad Social",2384
Educación,3101
Salud y Servicios Sociales,7703
Otros Servicios colectivos sociales y personales,1604
Servicios Domesticos,29
Organismos Internacionales y otras inst extraterri,7
Total:,49595
