Grupo de Ocupación,Registros,%
AGRICULTORES Y TRABAJADORES CALIFICADOS AGROPECUARIOS Y PESQUEROS,338,1
EMPLEADOS DE OFICINA,19617,42
FUERZAS ARMADAS,640,1
"OFICIALES, OPERARIOS Y ARTESANOS DE ARTES MECANICAS Y DE OTROS OFICIOS",3165,7
OPERADORES DE INSTALACIONES Y MAQUINAS Y MONTADORES,4621,10
PROFESIONALES CIENTIFICOS E INTELECTUALES,1759,4
TECNICOS Y PROFESIONALES DE NIVEL MEDIO,3805,8
TRABAJADORES DE LOS SERVICIOS Y VENDEDORES DE COMERCIOS Y MERCADOS,6583,14
TRABAJADORES NO CALIFICADOS,6269,13
Total:,46797,
