Tipo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total
Empresa Privada,"2,614","2,998","3,436","2,882","3,214","3,292","3,047","3,476","3,151","3,244","3,263","2,833",37450
Empresa Pública,"1,668","1,920","1,237",779,835,950,791,723,667,879,921,775,12145
,"4,282","4,918","4,673","3,661","4,049","4,242","3,838","4,199","3,818","4,123","4,184","3,608",49595
